Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
2012,  4.8,11.1,33.0,83.2,33.4,  2.9,21.9,17.4,81.6,145.9,38.8,  5.7
2013,32.5,35.7,137.0,90.4,67.4,19.0,14.9,  5.0,22.6,28.8,110.5,16.2
2014,43.0,22.8,30.0,76.5,50.8,27.8,85.0,25.1,155.6,10.2,143.0,22.6
2015,13.5,11.3,48.0,12.5,53.2,10.8,26.2,41.0,60.7,29.6,38.7,  0.3
2016,  1.1,39.9,44.2,68.1,28.7,19.4,16.9,17.6,95.7,75.8,38.5,34.3
2017,32.0,31.2,136.4,48.1,20.4,25.9,  7.2,17.4,53.3,128.2,15.2,  3.1
2018,63.6,104.6,112.5,83.0,30.3,53.1,51.5,36.5,44.4,201.9,201.8,  4.8
2019,18.2,4.6,0.3,36.2,109.0,19.3,75.8,23.1,71.5,83.2,39.4,119.2
2020,89.3,2.8,61.6,258.7,29.2,69.1,23.1,12.4,60.2,23.1,52.5,41.5
2021,26.2,26.5,7.7,62.7,13.4,7.8,9,8.3,23.3,63.2,75.9,3.8
2022,12.3,1.9,89.5,38.9,20.0,9.5,2.7,67.9,13.1,11.3,7.6,33
